company,fy,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,sales,operating_profit,other_income,interest,depreciation,pbt,net_profit,eps,cfo,fcf,debtor_days,inventory_days,payable_days,roce_pct,x1_wc_ta,x2_re_ta,x3_ebit_ta,x4_bve_tl,altman_z_em,altman_zone,x4_market_mve_tl
ONGC,2021,6290,214691,133187,187580,541748,243746,100309,60320,137372,303849,49473,11271.0,5079,25538,30126.0,21360,12.96,47185,15147,19.0,85.0,51.0,9,-0.09267777638311539,0.3962931104498771,0.04418105835185363,0.688914383337438,4.954206141622128,Grey Zone,
ONGC,2022,6290,253213,121986,201771,583260,254402,106719,66642,155496,491246,79874,6797.0,5696,26883,54091.0,49294,36.19,78248,45158,14.0,90.0,66.0,16,-0.07933854541713815,0.43413400541782393,0.09085313582278914,0.8015363374382639,5.596962226764999,Grey Zone,
ONGC,2023,6290,274357,142255,190212,613115,250819,113945,78873,169478,632291,75527,-30.0,7889,24557,43051.0,32778,28.17,84211,47758,11.0,61.0,46.0,14,-0.03381747306785839,0.4474804889784135,0.08313285435848088,0.8441349066223114,5.931938203986895,Safe Zone,
ONGC,2024,6290,332779,191195,206357,736621,317183,118729,100862,199847,601581,102383,14712.0,13026,30440,73629.0,55273,39.06,98847,60965,12.0,87.0,61.0,18,-0.008837651926838904,0.4517642043873308,0.0976662354182137,0.8528922002656256,6.216630221951938,Safe Zone,
ONGC,2025,6290,337150,187817,221401,752658,340175,112614,95617,204252,612064,88857,13282.0,14535,35206,52398.0,38329,28.8,90856,50143,13.0,99.0,64.0,12,-0.022784584764926435,0.4479458133707474,0.07128204310589936,0.8392592701200827,5.921074038828449,Safe Zone,0.7267471127858501
IOC,2021,9181,102657,116649,126658,355145,157085,36291,44717,117053,363950,39929,4696.0,2933,10941,30751.0,21762,15.32,49650,27904,14.0,111.0,,15,-0.027045291359867097,0.2890565825226316,0.08162299905672331,0.45965796298503536,5.046054762498518,Grey Zone,
IOC,2022,9181,124354,132020,145327,410882,160514,47469,52352,150546,589336,46619,4318.0,4301,12348,34289.0,25727,17.78,24570,1533,12.0,84.0,,16,0.012701943623716785,0.30265136949294447,0.08340837515393713,0.48147266781324477,5.386018796956946,Grey Zone,
IOC,2023,13772,125949,148977,153298,441995,180048,51133,52190,158624,841756,30683,5124.0,7588,13181,15038.0,11704,6.93,29644,-2524,7.0,59.0,,8,0.01204991006685596,0.2849557121686897,0.03959773300602948,0.46223141179389626,5.009442779892613,Grey Zone,
IOC,2024,13772,169645,132628,166639,482683,195998,61032,65542,160111,776352,75650,5384.0,7881,15866,57288.0,43161,29.55,71146,34453,6.0,70.0,,21,-0.0135244042156032,0.35146255409865274,0.12385768713627784,0.6128874884300641,5.782903355114605,Grey Zone,
IOC,2025,13772,172716,152271,168796,507554,201142,77921,67218,161272,758106,36040,7112.0,9311,16777,17063.0,13789,9.63,34452,83,9.0,63.0,,7,-0.014824038427438263,0.3402908853048149,0.037952611938828186,0.5808382674021311,5.127024327010864,Grey Zone,0.613111904991793
BPCL,2021,2093,51462,54532,52891,160978,64098,17037,26768,53075,230171,21001,,1723,4334,22432.0,17320,37.26,23455,14403,12.0,52.0,,18,0.001143013331014176,0.31968343500354085,0.10353588689137647,0.4985431425299982,5.5188976251295445,Grey Zone,
BPCL,2022,2129,49776,64534,71089,187529,83901,15433,23616,64578,346791,19137,,2606,5434,16037.0,11682,26.93,20336,12643,10.0,51.0,,16,-0.03471996331234103,0.2654309466802468,0.07307136496221918,0.38271532114759294,4.780432586599733,Grey Zone,
BPCL,2023,2129,51393,69376,65240,188138,86675,16249,26778,58436,473187,10899,,4263,6369,2821.0,2131,4.91,12466,3960,5.0,32.0,,7,-0.03616494275478638,0.273166505437498,0.024078070352613508,0.39759018244488026,4.482555107591532,Distress Zone,
