company,period,fy,E,sigma_E,D,r,T,V,sigma_V,d1,d2,dd_risk_neutral,pd_risk_neutral,mu_physical,dd_physical,pd_physical,converged,residual_norm,solver_message
ONGC,FY2021_leverage_only,2021,297398,0.23629999999999998,133187,0.0635,1.0,422390.55252729694,0.16637480876294738,7.402061092496365,7.2356862837334175,7.2356862837334175,2.315904428918821e-13,0.1335,7.6564230558473785,9.559160598136168e-15,True,0.0,The solution converged.
ONGC,FY2022_leverage_only,2022,297398,0.23629999999999998,121986,0.0682,1.0,411341.90706934594,0.17084363686813397,7.5994182354463,7.428574598578166,7.428574598578166,5.488708319649544e-14,0.1382,7.838305983856681,2.283325646837752e-15,True,0.0,The solution converged.
ONGC,FY2023_leverage_only,2023,297398,0.23629999999999998,142255,0.0736,1.0,429559.0456541784,0.16359834139446103,7.2868721285555855,7.123273787161125,7.123273787161125,5.269658336629453e-13,0.1436,7.551150985691024,2.1571416557809564e-14,True,0.0,The solution converged.
ONGC,FY2024_leverage_only,2024,297398,0.23629999999999998,191195,0.0707,1.0,475542.2917370701,0.14777896439861293,6.718014875765971,6.570235911367358,6.570235911367358,2.511780345049779e-11,0.1407,7.043916318351297,9.345521154680045e-13,True,1.4551915228366852e-11,The solution converged.
ONGC,FY2025_leverage_only,2025,297398,0.23629999999999998,187817,0.0668,1.0,473078.6897539612,0.148548537320704,6.742759001860162,6.594210464539458,6.594210464539458,2.1376243336891158e-11,0.1368,7.065436915250823,8.005570635666177e-13,True,0.0,The solution converged.
IOC,FY2021_leverage_only,2021,196850,0.2693,116649,0.0635,1.0,306322.067535361,0.17305872041597162,6.032300994764393,5.859242274348421,5.859242274348421,2.324919543982246e-09,0.1335,6.263729259065197,1.8793892973439964e-10,True,0.0,The solution converged.
IOC,FY2022_leverage_only,2022,196850,0.2693,132020,0.0682,1.0,320166.4019524046,0.16557547828556896,5.845038589069801,5.679463110784232,5.679463110784232,6.755909299445918e-09,0.1382,6.102231027415405,5.229901838173166e-10,True,2.9999541770795335e-11,The solution converged.
IOC,FY2023_leverage_only,2023,196850,0.2693,148977,0.0736,1.0,335256.07422887394,0.15812302727549357,5.67408915845525,5.5159661311797565,5.5159661311797565,1.7343453060979514e-08,0.1436,5.9586594011362,1.27157756095513e-09,True,2.9103830456733704e-11,The solution converged.
IOC,FY2024_leverage_only,2024,196850,0.2693,132628,0.0707,1.0,320424.9947443936,0.1654418538077138,5.841844053469732,5.676402199662018,5.676402199662018,6.877857028702629e-09,0.1407,6.099511578509756,5.319652686703668e-10,True,0.0,The solution converged.
IOC,FY2025_leverage_only,2025,196850,0.2693,152271,0.0668,1.0,339281.59189199226,0.15624692507829224,5.633231753974244,5.476984828895952,5.476984828895952,2.1631714695447854e-08,0.1368,5.924993645484978,1.5615473324265223e-09,True,3.253907165344266e-11,The solution converged.
BPCL,FY2021_leverage_only,2021,138594,0.2958,54532,0.0635,1.0,189770.87067153168,0.21602949424502588,6.174453590796,5.958424096550974,5.958424096550974,1.273409441391757e-09,0.1335,6.282453925184487,1.6663502998044048e-10,True,0.0,The solution converged.
BPCL,FY2022_leverage_only,2022,138594,0.2958,64534,0.0682,1.0,198873.50828161128,0.20614161047225457,5.893637621958992,5.687496011486737,5.687496011486737,6.4457806539499726e-09,0.1382,6.027068404656826,8.348017590978481e-10,True,7.275957614183426e-12,The solution converged.
BPCL,FY2023_leverage_only,2023,138594,0.2958,69376,0.0736,1.0,203047.3035725332,0.2019042096492785,5.784330326790424,5.582426117141146,5.582426117141146,1.185931899046824e-08,0.1436,5.929125178649546,1.522764274291865e-09,True,0.0,The solution converged.
BPCL,FY2024_leverage_only,2024,138594,0.2958,54599,0.0707,1.0,189466.14720138986,0.21637694025175305,6.185059677993704,5.9686827377419505,5.9686827377419505,1.1958833475203156e-09,0.1407,6.292192257372626,1.5650672889857525e-10,True,0.0,The solution converged.
BPCL,FY2025_leverage_only,2025,138594,0.2958,61101,0.0668,1.0,195746.79140480206,0.2094343664624972,5.982901034258253,5.773466667795756,5.773466667795756,3.882848706576424e-09,0.1368,6.107700256973847,5.053847512850981e-10,True,7.275957614183426e-12,The solution converged.
HPCL,FY2021_leverage_only,2021,79474,0.34990000000000004,43709,0.0635,1.0,120493.76045162111,0.23078353878166472,4.7844593564488,4.553675817667136,4.553675817667136,2.6358286787427216e-06,0.1335,4.856990345079008,5.95917015766893e-07,True,1.4999770885397668e-11,The solution converged.
