company,fy,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,sales,operating_profit,other_income,interest,depreciation,pbt,net_profit,eps,cfo,fcf,debtor_days,inventory_days,payable_days,roce_pct,_bs_check
ONGC,2021,6290,214691,133187,187580,541748,243746,100309,60320,137372,303849,49473,11271.0,5079,25538,30126.0,21360,12.96,47185,15147,19.0,85.0,51.0,9,0
ONGC,2022,6290,253213,121986,201771,583260,254402,106719,66642,155496,491246,79874,6797.0,5696,26883,54091.0,49294,36.19,78248,45158,14.0,90.0,66.0,16,0
ONGC,2023,6290,274357,142255,190212,613115,250819,113945,78873,169478,632291,75527,-30.0,7889,24557,43051.0,32778,28.17,84211,47758,11.0,61.0,46.0,14,-1
ONGC,2024,6290,332779,191195,206357,736621,317183,118729,100862,199847,601581,102383,14712.0,13026,30440,73629.0,55273,39.06,98847,60965,12.0,87.0,61.0,18,0
ONGC,2025,6290,337150,187817,221401,752658,340175,112614,95617,204252,612064,88857,13282.0,14535,35206,52398.0,38329,28.8,90856,50143,13.0,99.0,64.0,12,0
IOC,2021,9181,102657,116649,126658,355145,157085,36291,44717,117053,363950,39929,4696.0,2933,10941,30751.0,21762,15.32,49650,27904,14.0,111.0,,15,0
IOC,2022,9181,124354,132020,145327,410882,160514,47469,52352,150546,589336,46619,4318.0,4301,12348,34289.0,25727,17.78,24570,1533,12.0,84.0,,16,0
IOC,2023,13772,125949,148977,153298,441995,180048,51133,52190,158624,841756,30683,5124.0,7588,13181,15038.0,11704,6.93,29644,-2524,7.0,59.0,,8,1
IOC,2024,13772,169645,132628,166639,482683,195998,61032,65542,160111,776352,75650,5384.0,7881,15866,57288.0,43161,29.55,71146,34453,6.0,70.0,,21,1
IOC,2025,13772,172716,152271,168796,507554,201142,77921,67218,161272,758106,36040,7112.0,9311,16777,17063.0,13789,9.63,34452,83,9.0,63.0,,7,1
BPCL,2021,2093,51462,54532,52891,160978,64098,17037,26768,53075,230171,21001,,1723,4334,22432.0,17320,37.26,23455,14403,12.0,52.0,,18,0
BPCL,2022,2129,49776,64534,71089,187529,83901,15433,23616,64578,346791,19137,,2606,5434,16037.0,11682,26.93,20336,12643,10.0,51.0,,16,-1
